shortnam,avelf,lat_abst,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,avexpr,logpgp95,landlock,goldm,iron,silv,zinc,oilres,logem4,baseco
ECU,.32535714,.022222223,15,26,30,0,4,80,94,40,60,0,0,1,0,0,0,30.000002,6.5454545,8.4701014,0,0,0,0,0,141,4.2626801,1
EGY,.023061818,.30000001,24,31,47,1,17,50,70,18,41,0,1,0,0,0,0,0,6.7727275,7.9515595,0,0,0,0,0,111000,4.2165623,1
ERI,,.16666667,31,33,44,17,23,56,83,44,74,0,0,0,0,0,0,0,,6.6200733,0,0,0,0,0,0,,
ESP,.27451614,.44444445,15,16,39,-10,8,58,86,33,71,0,0,0,0,0,0,100,9.681818,9.6184683,0,0,0,0,3,575,,
EST,,.65555555,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,,8.3938951,0,0,0,0,0,,,
ETH,.67708248,.088888891,17,27,34,0,7,56,86,33,73,0,0,0,0,0,0,0,5.7272725,6.1092477,0,0,0,0,0,0,3.2580965,1
FIN,.105,.71111113,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,9.727273,9.826066,0,0,0,0,0,0,,
FJI,.80000001,.2,25,32,37,13,19,76,82,73,79,0,0,0,0,0,0,,,8.3015213,0,0,0,0,0,0,2.4336133,
FRA,.14548394,.51111114,13,15,40,-15,9,82,91,54,82,0,0,0,0,0,0,100,9.727273,9.9636412,0,0,1,0,0,3090,1.0577903,
GAB,.79666668,.011111111,27,33,37,17,19,85,95,69,79,0,0,0,0,0,0,0,7.818182,8.9078827,0,0,0,0,0,579000,5.6347895,1
GBR,.10628459,.60000002,12,14,34,-10,7,70,87,56,81,0,0,0,0,0,0,100,9.772727,9.87817,0,0,0,0,0,71700,.93609333,
GEO,,.46666667,13,20,40,-15,14,57,80,40,65,0,0,1,0,0,0,100,,7.3714895,0,0,0,0,0,0,,
GHA,.70607078,.088888891,27,32,38,15,21,95,97,61,77,1,0,0,0,0,0,0,6.2727275,7.36518,0,0,0,0,0,30,6.5042882,1
GIN,.75983,.12222222,27,31,36,17,21,83,94,63,87,0,0,0,0,0,0,0,6.5454545,7.4899707,0,0,0,0,0,0,6.1800165,1
GMB,.78037035,.14755556,24,33,41,7,21,66,95,26,78,0,0,0,0,0,0,0,8.272727,7.2723985,0,0,0,0,0,0,7.2930179,1
GNB,.85000002,.13333334,28,35,43,13,21,70,87,45,74,0,0,0,0,0,0,0,4.5454545,,0,0,0,0,0,0,5.1038828,
GRC,.077777781,.43333334,19,21,43,-6,16,47,78,34,63,0,0,0,0,0,0,100,7.818182,9.3976498,0,0,0,0,0,4010,,
GTM,.47666666,.17,19,28,32,5,12,81,92,51,72,0,0,0,0,0,0,20,5.1363635,8.2940493,0,0,0,0,0,2700,4.2626801,1
GUY,.23777778,.055555556,27,31,34,20,22,83,93,69,77,0,0,0,0,0,0,2,5.8863635,7.9047041,0,0,0,0,0,0,3.4713452,1
HKG,.23682119,.24611111,21,26,36,0,22,73,87,60,78,0,0,0,0,0,0,0,8.136364,10.04975,0,0,0,0,0,0,2.7013612,1
HND,.097359307,.16666667,22,25,30,14,18,79,91,43,70,0,0,0,0,0,0,20,5.318182,7.6870804,0,0,0,0,0,0,4.3579903,1
HRV,,.50111109,12,20,42,-25,8,71,85,46,76,0,0,0,0,0,0,100,,8.4184771,0,0,0,0,0,,,
HTI,.064404763,.21111111,27,34,38,16,20,68,79,43,56,0,0,0,0,0,0,0,3.7272727,7.1467724,0,0,0,0,0,0,4.8675346,1
HUN,.065079369,.52222222,9,14,39,-23,8,71,88,47,81,0,0,0,0,0,0,100,9,8.8098631,1,0,0,0,0,14000,,
IDN,.74219751,.055599999,28,33,37,19,21,90,95,61,75,0,0,0,0,0,0,0,7.590909,8.0709057,0,0,0,0,0,29700,5.1357985,1
IND,.69056785,.22220001,24,28,46,-1,22,35,80,19,64,1,0,0,0,0,0,0,8.272727,7.3260002,0,0,5,0,7,6750,3.8842406,1
IRL,.09035714,.58888888,9,14,30,-12,3,75,88,75,88,0,0,0,0,0,0,100,9.727273,9.7693844,0,0,0,0,3,0,,
IRN,,.35555556,15,18,43,-21,15,47,77,39,75,1,1,0,0,0,0,0,4.7727275,8.6052036,0,0,0,0,1,1470,,
IRQ,,.36666667,21,25,49,-8,18,32,84,12,52,1,0,0,0,0,0,0,1.6363636,,0,0,0,0,0,5020000,,
ISL,.1,.72222221,5,10,23,-17,1,75,83,67,80,0,0,0,0,0,0,100,9.727273,9.9436693,0,0,0,0,0,0,,
ISR,.32705572,.34777778,20,25,42,-3,11,47,77,32,66,0,1,0,0,0,0,0,8.545455,9.7841406,0,0,0,0,0,0,,
ITA,.038868155,.47222221,17,19,40,-6,12,70,87,42,70,0,0,0,0,0,0,100,9.454545,9.8979721,0,0,0,0,0,12900,,
JAM,.0125,.20166667,26,33,36,14,20,77,88,61,73,0,0,0,0,0,0,10,7.090909,8.1886892,0,0,0,0,0,0,4.8675346,1
JOR,.029719381,.34444445,19,24,43,-6,13,39,80,28,56,0,1,0,0,0,0,0,6.7727275,8.1718817,0,0,0,0,0,899,,
JPN,.0098802773,.40000001,15,22,38,-8,16,71,92,48,69,0,0,0,0,0,0,0,9.727273,10.034077,0,0,0,0,3,480,,
KAZ,,.53333336,5,5,42,-33,10,58,91,34,80,0,0,1,1,0,0,,,8.1315308,1,0,0,0,0,0,,
KEN,.82696486,.011111111,18,26,31,5,11,74,89,40,62,1,1,0,0,0,0,0,6.0454545,7.0561752,0,0,0,0,0,0,4.9767337,1
KGZ,,.45555556,2,12,38,-34,7,65,87,39,72,1,0,0,0,0,0,,,7.5755849,1,0,0,0,0,0,,
KOR,0,.41111112,11,12,37,-24,14,77,91,46,67,0,0,0,0,0,0,0,8.636364,9.4157276,0,0,0,0,0,0,4.7706847,
KWT,,.32555553,25,26,48,1,26,45,77,41,65,1,1,0,0,0,0,0,7.0454545,9.8036671,0,0,0,0,0,0,,
LAO,.25,.2,26,33,40,4,21,71,87,71,87,0,0,0,0,0,0,0,,7.0900769,1,0,0,0,0,0,4.9416423,
LBR,.80305529,.07,25,29,34,13,20,87,95,76,86,0,0,0,0,0,0,0,3.6363637,,0,0,.80000001,0,0,0,6.1800165,
LBY,.12140572,.27777779,24,28,46,1,17,54,72,53,72,0,1,0,0,0,0,0,5.2727275,,0,0,0,0,0,4500000,,
LKA,.32574692,.077777781,27,31,36,15,22,71,80,66,78,0,0,0,0,0,0,0,6.0454545,7.7319307,0,0,0,0,0,0,4.2456341,1
LSO,.2097619,.32555553,16,23,38,-9,6,51,75,25,42,0,0,0,0,0,0,0,,7.3065314,1,0,0,0,0,0,,
LTU,,.62222224,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,,8.2374792,0,0,0,0,0,0,,
LUX,.21666667,.54944444,9,11,37,-20,5,85,95,58,91,0,0,0,0,0,0,100,10,10.28875,1,0,0,0,0,0,,
LVA,,.63333333,4,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,,8.154788,0,0,0,0,0,0,,
MAR,.34797192,.35555556,24,27,48,0,12,87,92,59,72,1,0,0,0,0,0,1,7.090909,8.0423784,0,0,0,0,0,0,4.3592696,1
MDA,,.52222222,10,8,35,-25,9,69,92,50,84,0,0,0,0,0,0,100,,7.377759,1,0,0,0,0,0,,
MDG,.062748641,.22222222,18,27,35,1,12,85,94,49,71,1,0,0,0,0,0,0,4.4545455,6.8351846,0,0,0,0,0,0,6.2842088,1
MEX,.17407407,.25555557,16,23,32,-3,9,66,86,26,54,0,1,0,0,0,0,15.000001,7.5,8.9437675,0,0,0,13,4,570000,4.2626801,1
MKD,,.4611111,10,20,41,-22,7,70,94,46,76,0,0,0,0,0,0,100,,8.0614872,1,0,0,0,0,0,,
MLI,.80856913,.18888889,29,36,47,8,19,33,94,18,73,0,1,0,0,1,0,0,4,6.5652652,1,0,0,0,0,0,7.986165,1
MLT,.10333333,.39444444,23,22,40,5,18,71,78,59,68,0,0,0,0,0,0,100,7.2272725,9.427063,0,0,0,0,0,0,2.7911651,1
MMR,.38396853,.24444444,28,34,41,13,22,71,89,52,88,0,0,0,0,0,0,0,5.7727275,,0,0,0,0,0,0,3.5438535,
MNG,.073743872,.51111114,-4,-6,36,-44,1,64,88,40,75,0,0,1,0,0,0,0,7.3636365,7.2997975,1,0,0,0,0,0,,
MOZ,.78633273,.20166667,27,34,46,7,17,65,75,57,67,1,0,0,0,0,0,3,6.5,6.4614682,0,0,0,0,0,0,,
MRT,.27000001,.22222222,27,36,46,7,22,51,88,30,69,0,1,0,0,0,0,0,,7.4145727,0,0,0,0,0,0,5.6347895,
MUS,.70848483,.22411111,23,27,35,10,18,80,90,56,74,0,0,0,0,0,0,5,,9.0536861,0,0,0,0,0,0,3.4177268,
MWI,.6224373,.14777778,19,28,34,-1,13,50,89,28,66,0,0,0,0,0,0,0,6.818182,6.4614682,0,0,0,0,0,0,,
MYS,.6103704,.025555555,28,35,37,18,21,95,97,58,66,0,0,0,0,0,0,0,7.9545455,8.8942585,0,0,0,0,0,192000,2.8735647,1
NAM,.72833335,.24444444,18,25,36,-4,9,27,62,11,35,1,1,0,0,0,0,0,,8.5151911,0,0,0,0,0,0,,
NER,.73291427,.17777778,29,38,46,8,19,26,91,11,68,0,1,0,0,0,0,0,5,6.7334018,1,0,0,0,0,0,5.9914646,1
NGA,.856709,.11111111,28,34,40,16,21,81,87,65,80,1,0,0,0,1,0,0,5.5454545,6.8134446,0,0,0,0,0,168000,7.6029005,1
NIC,.099179566,.14444445,27,31,34,20,23,80,92,44,70,0,0,0,0,0,0,20,5.2272725,7.544332,0,0,0,0,0,0,5.0955892,1
NLD,.063435376,.58111107,9,15,34,-20,6,78,89,65,85,0,0,0,0,0,0,100,10,9.896966,0,0,0,0,0,9460,,
NOR,.069883719,.68888891,5,11,34,-26,4,68,88,52,85,0,0,0,0,0,0,100,9.954545,10.023933,0,0,0,0,0,2040000,,
NPL,.44999999,.31111112,17,24,36,-2,18,68,90,53,84,0,0,0,0,0,0,0,,6.937314,1,0,0,0,0,0,,
NZL,.14756992,.45555556,15,19,31,-2,5,73,81,67,78,0,0,0,0,0,0,91.699997,9.727273,9.7561474,0,0,0,0,0,48300,2.1459312,1
OMN,,.23333333,29,31,47,11,26,58,82,60,80,0,0,0,0,0,0,0,7.1363635,9.2083387,0,0,0,0,0,2670000,,
PAK,.62155986,.33333334,22,24,48,-4,17,19,54,19,54,1,1,0,0,0,0,0,6.0454545,7.3524413,0,0,0,0,0,3220,3.6106477,1
PAN,.19083333,.1,27,34,36,17,21,81,91,78,92,0,0,0,0,0,0,20,5.909091,8.8363743,0,0,0,0,0,0,5.0955892,1
PER,.43159091,.11111111,22,26,34,9,16,92,95,64,80,0,1,0,0,0,0,30.000002,5.7727275,8.3961544,0,0,0,9,5,16600,4.2626801,1
PHL,.72382069,.14444445,27,34,38,14,22,85,93,55,74,0,0,0,0,0,0,1,5.4545455,8.0986433,0,0,0,0,0,2220,,
PNG,.80272728,.06666667,28,32,37,18,21,72,78,69,78,0,0,0,0,0,0,0,7.2727275,,0,0,0,0,0,81500,5.1357985,
POL,.039049234,.5777778,7,11,35,-29,7,80,93,56,87,0,0,0,0,0,0,100,7.681818,8.6552143,0,0,0,0,2,1100,,
PRK,,.44444445,9,-3,29,-13,20,63,80,63,80,0,0,0,0,0,0,0,,,0,0,0,0,3,0,,
PRT,.0024999999,.43666667,20,21,40,-1,13,62,85,48,72,0,0,0,0,0,0,100,9.181818,9.4894857,0,0,0,0,0,0,,
PRY,.41111112,.25555557,22,37,43,-2,12,73,89,48,62,0,0,0,0,0,0,25,6.9545455,8.2079468,1,0,0,0,0,0,4.3579903,1
QAT,,.28111109,26,29,48,3,23,61,82,59,65,0,0,0,0,0,0,0,7.7272725,9.6853313,0,0,0,0,0,7630000,,
ROM,.12204424,.51111114,8,16,41,-32,8,58,89,58,89,0,0,0,0,0,0,100,7.2727275,8.387085,0,0,0,0,0,68000,,
RUS,,.66666669,3,2,32,-32,5,58,87,43,83,0,0,1,1,0,0,100,8.454545,8.4051437,0,0,0,0,0,,,
RWA,.060862068,.022222223,20,24,27,12,14,59,83,59,83,0,0,0,0,0,0,0,,6.4769726,1,0,0,0,0,0,5.6347895,
SAU,,.27777779,23,30,45,-7,19,33,65,19,44,0,1,0,0,0,0,0,7.590909,9.2398996,0,0,0,0,0,15700000,,
SDN,.51218003,.16666667,29,40,48,5,19,18,67,10,41,0,1,0,0,1,0,0,4,7.3065314,0,0,0,0,0,10900,4.4796071,1
SEN,.7788682,.15555556,28,35,43,12,21,70,88,45,74,0,1,0,0,1,0,0,6,7.4024515,0,0,0,0,0,0,5.1038828,1
SGP,.3215287,.013555556,28,33,36,19,21,76,82,70,78,0,0,0,0,0,0,0,9.318182,10.146434,0,0,0,0,0,0,2.8735647,1
SLE,.81295663,.092222221,25,31,33,13,20,73,83,70,79,1,0,0,0,0,0,0,5.818182,6.253829,0,0,0,0,0,0,6.1800165,1
